area_peril_id,peril_id,postalcode
201,WTC,LE13 0SA
202,WTC,LE13 0SB
203,WTC,LE13 1RL
204,WTC,LE13 1UU
205,WTC,LE13 0QH
206,WTC,LE13 1PX
207,WTC,LE13 1DW
208,WTC,LE13 0SD
209,WTC,LE13 0BN
210,WTC,LE13 0FJ
211,WTC,LE13 0QJ
212,WTC,LE13 0JX
213,WTC,LE13 0HR
214,WTC,LE13 0HN
215,WTC,LE13 0HS
216,WTC,LE13 0HW
217,WTC,LE13 0HP
218,WTC,LE13 0HL
219,WTC,LE13 0HT
220,WTC,LE13 0HJ
221,WTC,LE13 0PL
222,WTC,LE13 0ED
223,WTC,LE13 0EJ
224,WTC,LE13 1EN
225,WTC,LE13 1EW
226,WTC,LE13 1EP
227,WTC,LE13 1JN
228,WTC,LE13 0JR
229,WTC,LE13 0QN
230,WTC,LE13 0QW
231,WTC,LE13 1UQ
232,WTC,LE13 1PY
233,WTC,LE13 0SE
234,WTC,LE13 1UJ
235,WTC,LE13 1PT
236,WTC,LE13 1PZ
237,WTC,LE13 1RT
238,WTC,LE13 0DG
239,WTC,LE13 1QA
240,WTC,LE13 1GY
241,WTC,LE13 1LY
242,WTC,LE13 1UN
243,WTC,LE13 0QA
244,WTC,LE13 1AA
245,WTC,LE13 0QP
246,WTC,LE13 0QR
247,WTC,LE13 1JG
248,WTC,LE13 0FG
249,WTC,LE13 0HF
250,WTC,LE13 1RU
251,WTC,LE13 1XY
252,WTC,LE13 0FA
253,WTC,LE13 0LR
254,WTC,LE13 1LF
255,WTC,LE13 0NA
256,WTC,LE13 1ER
257,WTC,LE13 1ES
258,WTC,LE13 1EB
259,WTC,LE13 0SW
260,WTC,LE13 0JY
261,WTC,LE13 1XQ
262,WTC,LE13 1JE
263,WTC,LE13 1NB
264,WTC,LE13 1RX
265,WTC,LE13 1DH
266,WTC,LE13 1AB
267,WTC,LE13 0NY
268,WTC,LE13 0NB
269,WTC,LE13 1JW
270,WTC,LE13 0QS
271,WTC,LE13 1ET
272,WTC,LE13 0GN
273,WTC,LE13 1LR
274,WTC,LE13 1DJ
275,WTC,LE13 1DL
276,WTC,LE13 1DN
277,WTC,LE13 1FB
278,WTC,LE13 1DP
279,WTC,LE13 1GH
280,WTC,LE13 1AE
281,WTC,LE13 1AF
282,WTC,LE13 1AW
283,WTC,LE13 1AQ
284,WTC,LE13 1AJ
285,WTC,LE13 0LT
286,WTC,LE13 1NY
287,WTC,LE13 0AA
288,WTC,LE13 0FZ
289,WTC,LE13 0FH
290,WTC,LE13 0PG
291,WTC,LE13 1RP
292,WTC,LE13 0SZ
293,WTC,LE13 0PA
294,WTC,LE13 0FX
295,WTC,LE13 1EH
296,WTC,LE13 0JW
297,WTC,LE13 1PN
298,WTC,LE13 1LZ
299,WTC,LE13 1NA
300,WTC,LE13 0JZ
301,WTC,LE13 0TP
302,WTC,LE13 0EB
303,WTC,LE13 0HU
304,WTC,LE13 0PN
305,WTC,LE13 0PW
306,WTC,LE13 1UW
307,WTC,LE13 1HU
308,WTC,LE13 0LZ
309,WTC,LE13 0FL
310,WTC,LE13 0ND
311,WTC,LE13 0TE
312,WTC,LE13 0AB
313,WTC,LE13 0JU
314,WTC,LE13 0HX
315,WTC,LE13 0FY
316,WTC,LE13 0NE
317,WTC,LE13 0TL
318,WTC,LE13 1JP
319,WTC,LE13 1RD
320,WTC,LE13 0BE
321,WTC,LE13 0JT
322,WTC,LE13 0HY
323,WTC,LE13 0FF
324,WTC,LE13 1TB
325,WTC,LE13 1TA
326,WTC,LE13 0QT
327,WTC,LE13 0QU
328,WTC,LE13 0AD
329,WTC,LE13 0BG
330,WTC,LE13 0BH
331,WTC,LE13 0BP
332,WTC,LE13 0BQ
333,WTC,LE13 0BJ
334,WTC,LE13 0BL
335,WTC,LE13 1GZ
336,WTC,LE13 1JB
337,WTC,LE13 1PL
338,WTC,LE13 1EU
339,WTC,LE13 0BS
340,WTC,LE13 1HZ
341,WTC,LE13 1JJ
342,WTC,LE13 0RQ
343,WTC,LE13 1QB
344,WTC,LE13 1QD
345,WTC,LE13 0TJ
346,WTC,LE13 0LA
347,WTC,LE13 0LB
348,WTC,LE13 0JN
349,WTC,LE13 0LY
350,WTC,LE13 0HQ
351,WTC,LE13 1JH
352,WTC,LE13 1JF
353,WTC,LE13 1RJ
354,WTC,LE13 0SF
355,WTC,LE13 0RJ
356,WTC,LE13 0BA
357,WTC,LE13 0LD
358,WTC,LE13 1FE
359,WTC,LE13 1TD
360,WTC,LE13 1TE
361,WTC,LE13 0EW
362,WTC,LE13 0QG
363,WTC,LE13 0QQ
364,WTC,LE13 0DE
365,WTC,LE13 0RW
366,WTC,LE13 0DZ
367,WTC,LE13 1TF
368,WTC,LE13 1TG
369,WTC,LE13 0SG
370,WTC,LE13 0SQ
371,WTC,LE13 0TH
372,WTC,LE13 1AR
373,WTC,LE13 1AT
374,WTC,LE13 1UH
375,WTC,LE13 1AP
376,WTC,LE13 0SH
377,WTC,LE13 0BU
378,WTC,LE13 1UD
379,WTC,LE13 1RH
380,WTC,LE13 1RZ
381,WTC,LE13 1RY
382,WTC,LE13 0HZ
383,WTC,LE13 1DS
384,WTC,LE13 1SA
385,WTC,LE13 1DE
386,WTC,LE13 1ST
387,WTC,LE13 0FQ
388,WTC,LE13 1HY
389,WTC,LE13 1HN
390,WTC,LE13 0EG
391,WTC,LE13 1JD
392,WTC,LE13 0SJ
393,WTC,LE13 1EX
394,WTC,LE13 0RF
395,WTC,LE13 0AE
396,WTC,LE13 1AX
397,WTC,LE13 0ET
398,WTC,LE13 0NG
399,WTC,LE13 0AG
400,WTC,LE13 0AQ
401,WTC,LE13 0QX
402,WTC,LE13 1PW
403,WTC,LE13 1EY
404,WTC,LE13 1EZ
405,WTC,LE13 1HA
406,WTC,LE13 1EL
407,WTC,LE13 1SB
408,WTC,LE13 0SN
409,WTC,LE13 0LE
410,WTC,LE13 1FF
411,WTC,LE13 1UE
412,WTC,LE13 1LU
413,WTC,LE13 1RF
414,WTC,LE13 1LX
415,WTC,LE13 1HB
416,WTC,LE13 1TQ
417,WTC,LE13 0GL
418,WTC,LE13 0QY
419,WTC,LE13 0LX
420,WTC,LE13 0FR
421,WTC,LE13 1JQ
422,WTC,LE13 0BX
423,WTC,LE13 0QZ
424,WTC,LE13 1DD
425,WTC,LE13 0PQ
426,WTC,LE13 0FP
427,WTC,LE13 0TR
428,WTC,LE13 0TW
429,WTC,LE13 0TT
430,WTC,LE13 0TX
431,WTC,LE13 0TY
432,WTC,LE13 0TS
