event_id,OriginalEventRate,EventDescription
1,0.001,Event 1
2,0.001,Event 2
3,0.001,Event 3
5,0.001,Event 5
7,0.001,Event 7
11,0.001,Event 11
12,0.001,Event 12
13,0.001,Event 13
16,0.001,Event 16
17,0.001,Event 17
18,0.001,Event 18
20,0.001,Event 20
25,0.001,Event 25
27,0.001,Event 27
32,0.001,Event 32
33,0.001,Event 33
34,0.001,Event 34
36,0.001,Event 36
37,0.001,Event 37
38,0.001,Event 38
40,0.001,Event 40
41,0.001,Event 41
43,0.001,Event 43
44,0.001,Event 44
46,0.001,Event 46
48,0.001,Event 48
51,0.001,Event 51
64,0.001,Event 64
66,0.001,Event 66
70,0.001,Event 70
72,0.001,Event 72
73,0.001,Event 73
74,0.001,Event 74
75,0.001,Event 75
76,0.001,Event 76
78,0.001,Event 78
79,0.001,Event 79
84,0.001,Event 84
85,0.001,Event 85
86,0.001,Event 86
87,0.001,Event 87
89,0.001,Event 89
92,0.001,Event 92
99,0.001,Event 99
102,0.001,Event 102
105,0.001,Event 105
109,0.001,Event 109
115,0.001,Event 115
116,0.001,Event 116
119,0.001,Event 119
120,0.001,Event 120
125,0.001,Event 125
126,0.001,Event 126
132,0.001,Event 132
134,0.001,Event 134
137,0.001,Event 137
138,0.001,Event 138
143,0.001,Event 143
145,0.001,Event 145
147,0.001,Event 147
148,0.001,Event 148
149,0.001,Event 149
151,0.001,Event 151
161,0.001,Event 161
162,0.001,Event 162
164,0.001,Event 164
166,0.001,Event 166
168,0.001,Event 168
175,0.001,Event 175
177,0.001,Event 177
178,0.001,Event 178
180,0.001,Event 180
183,0.001,Event 183
187,0.001,Event 187
192,0.001,Event 192
195,0.001,Event 195
196,0.001,Event 196
211,0.001,Event 211
213,0.001,Event 213
218,0.001,Event 218
221,0.001,Event 221
222,0.001,Event 222
231,0.001,Event 231
233,0.001,Event 233
237,0.001,Event 237
241,0.001,Event 241
244,0.001,Event 244
249,0.001,Event 249
254,0.001,Event 254
256,0.001,Event 256
258,0.001,Event 258
261,0.001,Event 261
262,0.001,Event 262
265,0.001,Event 265
282,0.001,Event 282
283,0.001,Event 283
286,0.001,Event 286
287,0.001,Event 287
289,0.001,Event 289
290,0.001,Event 290
291,0.001,Event 291
292,0.001,Event 292
293,0.001,Event 293
294,0.001,Event 294
297,0.001,Event 297
298,0.001,Event 298
301,0.001,Event 301
304,0.001,Event 304
307,0.001,Event 307
309,0.001,Event 309
310,0.001,Event 310
317,0.001,Event 317
320,0.001,Event 320
321,0.001,Event 321
