vulnerability_id,intensity_bin_id,damage_bin_id,probability
1,1,1,0.2
1,1,2,0
1,1,3,0
1,1,4,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,10,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0
1,18,11,0
1,18,12,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0
1,19,11,0
1,19,12,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,20,11,0
1,20,12,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,21,11,0
1,21,12,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,22,11,0
1,22,12,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,23,11,0
1,23,12,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0
1,24,10,0
1,24,11,0
1,24,12,0
1,25,8,0
1,25,9,0
1,25,10,0
1,25,11,0
1,25,12,0
1,26,8,0
1,26,9,0
1,26,10,0
1,26,11,0
1,26,12,0
1,27,8,0
1,27,9,0
1,27,10,0
1,27,11,0
1,27,12,0
1,28,8,0
1,28,9,0
1,28,10,0
1,28,11,0
1,28,12,0
1,29,8,0
1,29,9,0
1,29,10,0
1,29,11,0
1,29,12,0.79
