LocID,PerilID,CoverageTypeID,Message
1,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
2,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
3,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
4,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
5,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
6,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
7,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
8,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
9,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
10,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
11,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
12,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
13,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
14,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
15,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
16,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
17,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
18,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
19,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
20,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
21,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
22,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
23,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
24,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
25,1,1,Successful peril area lookup: 73; Vulnerability lookup: invalid key column value(s) for location
26,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
27,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
28,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
29,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
30,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
31,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
32,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
33,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
34,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
35,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
36,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
37,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
38,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
39,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
40,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
41,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
42,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
43,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
44,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
45,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
46,1,1,Successful peril area lookup: 59; Vulnerability lookup: invalid key column value(s) for location
47,1,1,Successful peril area lookup: 69; Vulnerability lookup: invalid key column value(s) for location
48,1,1,Successful peril area lookup: 69; Vulnerability lookup: invalid key column value(s) for location
49,1,1,Successful peril area lookup: 69; Vulnerability lookup: invalid key column value(s) for location
50,1,1,Successful peril area lookup: 79; Vulnerability lookup: invalid key column value(s) for location
51,1,1,Successful peril area lookup: 79; Vulnerability lookup: invalid key column value(s) for location
52,1,1,Successful peril area lookup: 79; Vulnerability lookup: invalid key column value(s) for location
53,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
54,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
55,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
56,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
57,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
58,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
59,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
60,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
61,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
62,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
63,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
64,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
65,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
66,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
67,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
68,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
69,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
70,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
71,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
72,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
73,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
74,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
75,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
76,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
77,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
78,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
79,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
80,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
81,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
82,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
83,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
84,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
