LocNumber,GeogScheme1,GeogName1,GeogScheme2,GeogName2,GeogScheme3,GeogName3,GeogScheme4,GeogName4,GeogScheme5,GeogName5,Longitude,Latitude,CountryCode,ConstructionCode,OccupancyCode
1,0,0,0,0,0,0,0,0,0,0,-0.9000228,52.7774602,GB,5000,1050
2,0,0,0,0,0,0,0,0,0,0,-0.9003204,52.7780023,GB,5000,1050
3,0,0,0,0,0,0,0,0,0,0,-0.900014,52.7772173,GB,5000,1050
4,0,0,0,0,0,0,0,0,0,0,-0.9007215,52.7779701,GB,5000,1050
5,0,0,0,0,0,0,0,0,0,0,-0.9000172,52.7770915,GB,5000,1050
6,0,0,0,0,0,0,0,0,0,0,-0.900713,52.7777183,GB,5000,1050
7,0,0,0,0,0,0,0,0,0,0,-0.900027,52.776705,GB,5000,1050
8,0,0,0,0,0,0,0,0,0,0,-0.9005392,52.7775548,GB,5000,1050
9,0,0,0,0,0,0,0,0,0,0,-0.9000443,52.7766063,GB,5000,1050
10,0,0,0,0,0,0,0,0,0,0,-0.9005435,52.7773841,GB,5000,1050
11,0,0,0,0,0,0,0,0,0,0,-0.9000456,52.7765524,GB,5000,1050
12,0,0,0,0,0,0,0,0,0,0,-0.9005928,52.7771957,GB,5000,1050
13,0,0,0,0,0,0,0,0,0,0,-0.9000477,52.7764715,GB,5000,1050
14,0,0,0,0,0,0,0,0,0,0,-0.9005512,52.7770785,GB,5000,1054
15,0,0,0,0,0,0,0,0,0,0,-0.9000495,52.7763996,GB,5000,1054
16,0,0,0,0,0,0,0,0,0,0,-0.900569,52.7769618,GB,5000,1054
17,0,0,0,0,0,0,0,0,0,0,-0.9000374,52.7762916,GB,5000,1054
18,0,0,0,0,0,0,0,0,0,0,-0.9004976,52.7768532,GB,5000,1054
19,0,0,0,0,0,0,0,0,0,0,-0.9000184,52.7758689,GB,5000,1054
20,0,0,0,0,0,0,0,0,0,0,-0.9004994,52.7767813,GB,5000,1054
21,0,0,0,0,0,0,0,0,0,0,-0.9000218,52.7757341,GB,5000,1054
22,0,0,0,0,0,0,0,0,0,0,-0.9005174,52.7766556,GB,5000,1054
23,0,0,0,0,0,0,0,0,0,0,-0.9000229,52.7756891,GB,5000,1054
24,0,0,0,0,0,0,0,0,0,0,-0.9005347,52.7765569,GB,5000,1054
25,0,0,0,0,0,0,0,0,0,0,-0.9005222,52.7764669,GB,5000,1054
26,0,0,0,0,0,0,0,0,0,0,-0.900054,52.7750421,GB,5000,1054
27,0,0,0,0,0,0,0,0,0,0,-0.9005238,52.776404,GB,5000,1054
28,0,0,0,0,0,0,0,0,0,0,-0.9001017,52.7749167,GB,5000,1054
29,0,0,0,0,0,0,0,0,0,0,-0.9005709,52.7762965,GB,5000,1054
30,0,0,0,0,0,0,0,0,0,0,-0.9000305,52.7747992,GB,5000,1054
31,0,0,0,0,0,0,0,0,0,0,-0.9005148,52.7761702,GB,5000,1054
32,0,0,0,0,0,0,0,0,0,0,-0.9005175,52.7760623,GB,5000,1054
33,0,0,0,0,0,0,0,0,0,0,-0.9005203,52.7759545,GB,5000,1054
34,0,0,0,0,0,0,0,0,0,0,-0.9004931,52.7758553,GB,5000,1054
35,0,0,0,0,0,0,0,0,0,0,-0.9004514,52.775747,GB,5000,1054
36,0,0,0,0,0,0,0,0,0,0,-0.9004377,52.775702,GB,5000,1054
37,0,0,0,0,0,0,0,0,0,0,-0.9004399,52.7756121,GB,5000,1054
38,0,0,0,0,0,0,0,0,0,0,-0.9004276,52.7755131,GB,5000,1054
39,0,0,0,0,0,0,0,0,0,0,-0.9004151,52.7754231,GB,5000,1054
40,0,0,0,0,0,0,0,0,0,0,-0.9004175,52.7753242,GB,5000,1054
41,0,0,0,0,0,0,0,0,0,0,-0.9004349,52.7752255,GB,5000,1054
42,0,0,0,0,0,0,0,0,0,0,-0.900467,52.7751269,GB,5000,1054
43,0,0,0,0,0,0,0,0,0,0,-0.9005151,52.7749835,GB,5000,1054
44,0,0,0,0,0,0,0,0,0,0,-0.9005629,52.7748491,GB,5000,1054
45,0,0,0,0,0,0,0,0,0,0,-0.9005654,52.7747502,GB,5000,1054
46,0,0,0,0,0,0,0,0,0,0,-0.8675981,52.7684079,GB,5000,1050
47,0,0,0,0,0,0,0,0,0,0,-0.8670214,52.7763496,GB,5000,1050
48,0,0,0,0,0,0,0,0,0,0,-0.8670986,52.7762334,GB,5000,1050
49,0,0,0,0,0,0,0,0,0,0,-0.867555,52.7763546,GB,5000,1050
